2021-08-14 18:50:18.450 +01:00 [DBG] [   98ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:18.570 +01:00 [DBG] [  218ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:18.631 +01:00 [DBG] [  279ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:19.828 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:19.851 +01:00 [DBG] [   23ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:50:19.940 +01:00 [DBG] [  112ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:20.103 +01:00 [DBG] [  276ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:20.174 +01:00 [DBG] [  346ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:21.470 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:21.489 +01:00 [DBG] [   19ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:50:21.553 +01:00 [DBG] [   83ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:21.746 +01:00 [DBG] [  276ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:21.804 +01:00 [DBG] [  333ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:23.484 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:23.502 +01:00 [DBG] [   18ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:50:23.573 +01:00 [DBG] [   89ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:23.789 +01:00 [DBG] [  305ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:23.910 +01:00 [DBG] [  426ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:26.501 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:26.518 +01:00 [DBG] [   17ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:50:26.719 +01:00 [DBG] [  217ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:26.785 +01:00 [DBG] [  284ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:26.808 +01:00 [DBG] [  307ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:27.565 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:27.583 +01:00 [DBG] [   17ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:50:27.787 +01:00 [DBG] [  222ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:27.838 +01:00 [DBG] [  272ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:27.896 +01:00 [DBG] [  330ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:29.604 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:29.727 +01:00 [DBG] [  123ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:50:29.795 +01:00 [DBG] [  190ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:29.975 +01:00 [DBG] [  371ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:30.050 +01:00 [DBG] [  446ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:31.467 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:31.483 +01:00 [DBG] [   16ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:50:31.553 +01:00 [DBG] [   86ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:31.744 +01:00 [DBG] [  277ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:31.754 +01:00 [DBG] [  286ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:33.463 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:33.495 +01:00 [DBG] [   31ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:50:33.548 +01:00 [DBG] [   84ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:33.746 +01:00 [DBG] [  282ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:33.775 +01:00 [DBG] [  311ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:36.259 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:36.280 +01:00 [DBG] [   21ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:50:36.347 +01:00 [DBG] [   87ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:36.449 +01:00 [DBG] [  189ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:36.534 +01:00 [DBG] [  274ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:36.716 +01:00 [DBG] [ 2311ms] SoftwarePerformanceService.<GetProcesses>b__58_0 => .Get Processes with main title
2021-08-14 18:50:37.103 +01:00 [DBG] [ 2697ms] SoftwarePerformanceService.GetProcesses
2021-08-14 18:50:37.475 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:37.494 +01:00 [DBG] [   19ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:50:37.565 +01:00 [DBG] [   90ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:37.760 +01:00 [DBG] [  284ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:37.821 +01:00 [DBG] [  345ms] HardwarePerformanceService.UpdateNetworkUsage
